Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 14, 2019","1,414.40","1,444.20","1,404.60","1,425.10","1,425.10",132
"Jul 07, 2019","1,395.90","1,424.00","1,386.20","1,409.90","1,409.90",131
"Jun 30, 2019","1,386.60","1,434.00","1,382.80","1,396.70","1,396.70",318
"Jun 23, 2019","1,406.00","1,433.30","1,399.80","1,409.70","1,409.70","2,356"
"Jun 16, 2019","1,339.00","1,406.00","1,335.00","1,396.20","1,396.20",345
"Jun 09, 2019","1,335.80","1,355.40","1,319.10","1,340.10","1,340.10","1,679"
"Jun 02, 2019","1,307.00","1,347.70","1,307.00","1,341.20","1,341.20","2,137"
"May 26, 2019","1,276.50","1,306.40","1,273.90","1,305.80","1,305.80","248,081"
"May 19, 2019","1,276.10","1,284.80","1,272.00","1,283.00","1,283.00",29
"May 12, 2019","1,286.70","1,300.10","1,274.50","1,274.50","1,274.50",121
"May 05, 2019","1,282.20","1,286.50","1,278.80","1,285.70","1,285.70",69
"Apr 28, 2019","1,284.80","1,284.90","1,266.60","1,279.20","1,279.20",830
"Apr 21, 2019","1,273.50","1,284.90","1,266.00","1,284.90","1,284.90","1,770"
"Apr 14, 2019","1,284.80","1,287.30","1,270.10","1,271.90","1,271.90","1,501"
"Apr 07, 2019","1,292.20","1,309.10","1,288.60","1,290.60","1,290.60","1,186"
"Mar 31, 2019","1,291.80","1,295.90","1,279.50","1,290.40","1,290.40","1,822"
"Mar 24, 2019","1,320.70","1,322.90","1,286.10","1,293.00","1,293.00","295,346"
"Mar 17, 2019","1,297.30","1,311.60","1,297.30","1,311.60","1,311.60",30
"Mar 10, 2019","1,291.00","1,307.50","1,288.80","1,301.80","1,301.80",37
"Mar 04, 2019","1,285.50","1,297.40","1,281.00","1,297.00","1,297.00",177
"Feb 25, 2019","1,329.20","1,331.60","1,288.90","1,296.40","1,296.40","1,979"
"Feb 18, 2019","1,320.90","1,344.00","1,320.50","1,329.20","1,329.20","2,103"
"Feb 11, 2019","1,313.40","1,318.80","1,301.60","1,318.10","1,318.10","1,419"
"Feb 04, 2019","1,318.10","1,318.10","1,302.20","1,313.70","1,313.70","1,720"
"Jan 28, 2019","1,300.80","1,325.40","1,298.40","1,316.90","1,316.90","271,467"
